package_name,package_version,ecosystem,vulnerability_id,severity,cvss_score,title,fixed_version,repo,manifest_path,status,published_at,detected_at
lodash,4.17.20,npm,CVE-2021-23337,critical,9.8,Command injection via template function,4.17.21,mta-v800,platform/package.json,open,2021-02-15T00:00:00Z,2026-03-18T09:12:00Z
axios,0.21.1,npm,CVE-2021-3749,high,7.5,Inefficient regular expression complexity,0.21.2,mta-v800,platform/package.json,open,2021-08-31T00:00:00Z,2026-03-18T09:12:00Z
jsonwebtoken,8.5.1,npm,CVE-2022-23529,high,7.6,Insecure key retrieval via jwks-rsa,9.0.0,mta-v800,platform/fastify_apps/auth/package.json,fixed,2022-12-21T00:00:00Z,2026-03-10T14:30:00Z
minimatch,3.0.4,npm,CVE-2022-3517,high,7.5,ReDoS via braceExpand,3.0.5,mta-v800,platform/package.json,open,2022-10-17T00:00:00Z,2026-03-18T09:12:00Z
fastify,4.24.2,npm,CVE-2024-31999,medium,5.4,Content-type header injection,4.26.0,mta-v800,platform/package.json,fixed,2024-04-10T00:00:00Z,2026-03-05T11:00:00Z
semver,7.3.7,npm,CVE-2022-25883,medium,5.3,ReDoS in semver.valid(),7.5.2,mta-v800,platform/package.json,open,2022-06-20T00:00:00Z,2026-03-18T09:12:00Z
cryptography,39.0.1,pip,CVE-2023-49083,critical,9.1,NULL dereference in PKCS7 parsing,41.0.6,mta-v800,platform/pyproject.toml,open,2023-11-28T00:00:00Z,2026-03-18T09:12:00Z
jinja2,3.1.2,pip,CVE-2024-22195,medium,6.1,XSS via xmlattr filter,3.1.3,mta-v800,platform/fastapi_server/pyproject.toml,fixed,2024-01-11T00:00:00Z,2026-03-08T16:45:00Z
requests,2.28.0,pip,CVE-2023-32681,medium,6.1,Unintended leak of Proxy-Authorization header,2.31.0,mta-v800,platform/pyproject.toml,open,2023-05-26T00:00:00Z,2026-03-18T09:12:00Z
pillow,9.4.0,pip,CVE-2023-44271,high,7.5,Uncontrolled resource consumption in image processing,10.0.1,mta-v800,platform/pyproject.toml,dismissed,2023-09-30T00:00:00Z,2026-03-12T10:20:00Z
certifi,2022.12.7,pip,CVE-2023-37920,critical,9.8,Removal of e-Tugra root certificate,2023.7.22,mta-v800,platform/pyproject.toml,open,2023-07-25T00:00:00Z,2026-03-18T09:12:00Z
protobufjs,7.1.2,npm,CVE-2023-36665,critical,9.8,Prototype pollution via parse,7.2.4,mta-v800,platform/package.json,fixed,2023-07-05T00:00:00Z,2026-03-02T08:00:00Z
sqlalchemy,2.0.15,pip,CVE-2024-31580,medium,5.9,Memory corruption in Row hash,2.0.26,mta-v800,platform/fastapi_server/pyproject.toml,open,2024-04-08T00:00:00Z,2026-03-18T09:12:00Z
tar,6.1.11,npm,CVE-2024-28863,high,7.5,Denial of service via crafted tar file,6.2.1,mta-v800,platform/package.json,open,2024-03-21T00:00:00Z,2026-03-18T09:12:00Z
urllib3,1.26.15,pip,CVE-2023-45803,medium,4.2,Request body not stripped on redirect,2.0.7,mta-v800,platform/pyproject.toml,fixed,2023-10-17T00:00:00Z,2026-03-06T13:15:00Z
